OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176400715                                            
Config info:
GSC,1.000
LaserDAC,159
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
116,24,21,5,4,2,1,1,0,0,0,0,0,0,1,0,19,22,26,41,3.893,1.387,13.851,18.384,80.394
136,54,15,4,1,3,1,0,0,0,0,0,0,0,0,0,20,23,27,0,3.799,1.382,18.188,22.356,22.894
112,42,20,10,0,0,2,1,0,0,0,0,0,0,0,0,18,22,0,17,3.922,1.387,15.485,20.198,22.115
127,46,14,2,1,2,0,0,1,0,0,0,0,0,0,0,18,21,25,0,4.002,1.387,15.487,18.877,22.971
142,38,16,8,0,2,3,0,0,0,0,0,0,0,0,0,17,22,39,0,4.131,1.387,15.595,19.809,20.846
120,36,18,2,2,1,0,2,0,0,0,0,0,0,0,0,18,23,27,37,4.123,1.387,14.043,17.717,20.150
96,35,15,3,1,1,1,1,2,1,0,0,0,0,0,0,17,41,25,47,4.205,1.387,11.805,15.860,34.575
115,34,15,4,3,0,2,3,0,1,0,0,0,0,0,0,19,21,0,30,4.087,1.386,13.338,17.893,32.038
93,40,9,4,1,1,2,2,0,0,0,0,1,0,0,0,18,42,25,31,4.097,1.382,11.756,15.291,80.987
114,36,12,3,2,0,1,1,0,0,0,0,0,0,0,0,19,24,0,37,4.019,1.387,13.239,16.330,17.883
91,27,10,5,1,1,1,0,0,0,0,0,0,0,0,0,18,22,31,0,4.047,1.387,10.468,13.045,13.446
86,27,16,3,0,0,0,0,1,0,0,0,0,0,0,0,18,22,0,0,4.067,1.387,10.771,13.505,17.429
77,22,8,4,1,1,1,1,0,0,0,0,0,0,0,0,18,22,33,29,4.078,1.387,8.632,11.099,12.662
98,30,12,3,0,1,0,1,0,0,0,0,0,0,0,0,18,23,27,79,4.089,1.387,11.291,13.863,15.115
77,36,10,5,0,2,2,1,0,0,0,1,0,0,0,0,17,21,23,39,4.184,1.383,10.238,13.559,56.894
91,24,15,7,0,0,1,2,0,0,0,0,0,0,0,0,18,20,0,35,4.163,1.387,10.555,13.947,16.591
77,36,8,7,0,1,1,1,1,0,0,0,0,0,0,0,19,22,65,33,4.058,1.387,10.317,13.530,18.995
89,28,11,2,0,1,0,1,2,0,0,0,0,0,0,0,19,24,27,33,4.005,1.387,10.540,13.577,22.741
83,31,6,3,0,1,1,0,0,0,0,0,0,0,0,0,19,21,25,0,3.967,1.387,9.943,11.988,12.369
76,18,8,3,0,0,0,1,0,0,0,0,0,0,0,1,17,25,0,31,4.050,1.387,8.101,9.889,61.290
76,17,7,2,0,1,2,1,1,0,0,1,0,0,0,0,19,21,21,27,4.014,1.387,7.912,10.615,59.507
74,23,6,1,0,2,1,1,0,0,1,0,0,0,0,0,19,19,24,31,3.980,1.382,8.377,10.656,31.549
69,17,12,4,0,0,1,2,1,0,0,1,0,0,0,0,18,21,0,29,4.009,1.387,8.211,11.405,61.236
79,23,12,1,0,0,0,0,1,1,0,0,0,0,0,0,20,21,0,0,3.918,1.387,9.614,12.036,26.479
85,25,7,1,0,4,1,1,0,0,0,0,0,0,0,0,19,21,25,29,3.911,1.359,9.832,12.579,14.370
74,23,12,0,0,1,0,0,1,0,0,1,0,0,0,0,18,0,51,0,3.965,1.387,9.143,11.436,59.129
79,18,13,2,1,0,2,0,0,0,0,1,0,1,0,0,18,22,0,0,3.997,1.387,9.078,11.706,120.221
76,27,13,2,0,0,1,1,0,0,0,0,0,0,0,1,19,20,0,33,3.965,1.382,9.977,12.672,65.685
63,21,9,4,2,0,1,0,0,0,0,1,0,0,0,0,17,22,0,0,4.059,1.387,7.803,10.029,53.008
68,17,3,1,1,0,0,2,0,0,0,0,0,0,0,0,18,27,0,30,4.070,1.387,6.709,8.229,10.604
64,19,7,0,1,2,0,0,0,0,0,0,0,0,0,0,20,0,24,0,3.975,1.387,7.365,8.961,9.087
81,27,6,2,0,0,2,0,0,0,0,1,0,0,0,0,18,22,0,0,4.016,1.387,9.191,11.223,54.912
68,25,5,1,0,1,0,2,2,2,0,0,0,0,0,0,19,23,27,31,3.980,1.387,8.024,11.091,41.945
63,17,11,2,1,1,0,0,0,0,0,1,1,0,0,0,18,24,29,0,4.008,1.387,7.630,9.630,116.747
85,28,5,2,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,4.040,1.381,9.399,10.746,10.765
69,30,6,3,0,0,0,2,0,1,0,0,0,0,0,0,17,22,0,31,4.139,1.387,8.513,10.812,22.975
79,29,8,1,0,1,0,0,0,0,0,0,0,0,0,0,18,23,27,0,4.130,1.387,9.253,10.926,10.992
67,28,7,2,0,0,0,0,0,1,0,0,0,0,0,0,19,21,0,0,4.052,1.387,8.438,10.153,20.213
58,14,4,1,1,1,1,1,0,1,1,0,0,0,0,0,17,23,27,31,4.106,1.387,5.838,7.817,37.869
67,11,10,2,1,2,1,0,0,1,1,0,0,0,0,0,17,22,23,0,4.142,1.387,6.879,9.285,37.992
72,20,5,4,0,0,0,1,0,0,0,0,0,0,0,0,17,20,0,31,4.193,1.382,7.462,9.031,10.201
61,24,9,1,1,0,1,0,0,0,0,0,0,0,0,0,17,19,0,0,4.237,1.387,7.523,9.325,9.642
60,16,9,3,0,1,0,0,0,2,2,0,1,0,0,0,20,24,25,0,4.112,1.387,6.888,9.198,128.462
74,24,10,2,1,0,0,1,0,0,0,0,0,0,0,0,18,28,0,35,4.112,1.387,8.752,10.829,12.032
66,21,8,4,0,0,1,0,0,0,0,0,0,0,0,0,19,23,0,0,4.053,1.387,7.825,9.706,10.036
72,13,10,4,0,1,2,0,1,0,1,0,0,0,0,0,20,27,25,0,3.985,1.387,7.751,10.575,34.405
74,21,6,2,0,0,2,0,0,1,1,0,0,0,0,0,18,23,0,0,4.017,1.387,8.068,10.241,40.020
54,20,14,7,0,0,1,0,0,0,0,0,0,0,0,0,17,22,0,0,4.096,1.383,7.813,10.433,10.782
73,19,13,3,1,1,1,0,0,0,0,1,0,0,0,0,20,24,25,0,3.993,1.387,8.856,11.451,55.165
75,25,7,5,0,0,0,0,1,0,0,0,0,0,0,0,19,23,0,0,3.964,1.387,8.947,10.997,15.018
73,19,9,3,0,0,0,1,0,0,0,0,0,0,0,0,17,22,0,29,4.051,1.387,8.148,10.041,11.251
81,19,17,3,1,1,0,1,0,0,0,0,0,0,0,0,18,22,25,37,4.065,1.387,9.747,12.651,13.931
86,31,9,1,0,0,0,0,0,1,1,0,0,0,0,0,19,23,0,0,4.006,1.387,10.344,12.387,41.650
97,29,11,2,0,0,1,1,1,1,0,1,0,0,0,0,17,21,0,31,4.112,1.387,10.871,13.941,71.222
91,24,13,4,0,0,1,1,0,0,0,0,0,0,0,0,18,22,0,33,4.112,1.382,10.328,13.052,14.553
88,28,10,2,1,1,1,0,0,0,0,0,0,0,0,0,19,19,27,0,4.040,1.387,10.274,12.628,13.016
91,35,5,1,0,0,1,0,0,0,0,0,0,0,0,0,20,21,0,0,3.908,1.387,10.842,12.588,12.913
97,37,11,3,1,1,1,0,1,0,1,0,0,0,0,0,19,26,27,0,3.903,1.387,12.451,15.707,39.743
105,28,14,4,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,3.967,1.387,12.177,14.604,14.645
93,29,11,0,2,0,3,2,0,0,0,0,0,0,0,0,17,0,0,32,4.085,1.387,10.665,14.045,17.321
69,22,6,3,1,1,1,1,0,0,0,0,0,0,0,0,17,21,23,31,4.153,1.383,7.692,9.847,11.379
77,27,10,3,0,0,0,1,0,1,0,0,0,0,0,0,18,24,0,53,4.140,1.387,9.222,11.547,22.561
77,31,6,5,0,0,0,0,1,1,1,0,0,0,0,0,20,25,0,0,3.979,1.387,9.579,11.986,45.423
102,24,12,7,0,1,0,2,0,0,0,0,0,0,0,0,18,22,25,32,4.016,1.387,11.260,14.395,16.879
85,31,14,2,1,1,0,0,0,0,0,0,0,0,0,0,19,23,25,0,3.974,1.387,11.129,13.675,13.771
83,30,7,8,1,1,0,0,0,0,0,0,0,0,0,0,19,23,27,0,3.947,1.387,10.248,12.613,12.726
